City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
417,novaya igirma,57.1334,103.9112,257.55,96,59,1.6,RU,1680452253
418,fort-shevchenko,44.5086,50.263,281.46,79,100,2.9,KZ,1680452254
419,san policarpo,12.1791,125.5072,299.63,74,100,3.28,PH,1680452254
420,coquimbo,-29.9533,-71.3436,292.0,77,20,5.66,CL,1680452254
421,ribas do rio pardo,-20.4431,-53.7592,303.03,53,0,1.92,BR,1680452254
422,kungurtug,50.5994,97.5228,255.89,96,92,0.73,RU,1680452254
423,khorixas,-20.3667,14.9667,303.44,14,65,7.66,NA,1680452254
424,yaan,7.3833,8.5667,309.77,27,87,0.92,NG,1680452254
425,zhigansk,66.7697,123.3711,265.75,94,100,10.1,RU,1680452254
426,nouadhibou,20.931,-17.0347,301.14,44,0,5.66,MR,1680452255
427,poya,-21.35,165.15,297.22,89,69,0.98,NC,1680452255
428,lahat,-3.8,103.5333,295.34,95,99,1.27,ID,1680452255
429,yatou,37.15,122.3833,282.69,55,55,0.28,CN,1680452255
430,great yarmouth,52.6083,1.7305,283.43,70,6,6.83,GB,1680452255
431,debre tabor,11.85,38.0167,292.43,25,95,5.48,ET,1680452255
432,prieska,-29.6641,22.7474,302.38,13,90,10.07,ZA,1680452256
433,ust-barguzin,53.45,108.9833,261.67,85,100,0.78,RU,1680452256
434,nelson bay,-32.7167,152.15,293.71,98,47,2.24,AU,1680452256
435,mount isa,-20.7333,139.5,295.02,37,31,4.12,AU,1680452256
436,shubarkuduk,49.1447,56.4872,283.83,23,66,7.2,KZ,1680452256
437,eyrarbakki,63.863,-21.1481,280.18,72,100,5.57,IS,1680452256
438,vila franca do campo,37.7167,-25.4333,289.38,68,15,7.94,PT,1680452257
439,halifax,44.6453,-63.5724,279.51,74,100,14.4,CA,1680451523
440,les cayes,18.2,-73.75,302.05,59,0,5.12,HT,1680452257
441,zaozerne,45.1582,33.2787,282.79,91,100,8.6,UA,1680452257
442,sept-iles,50.2001,-66.3821,272.44,74,75,9.77,CA,1680452257
443,lewiston,44.1003,-70.2148,278.07,31,0,11.32,US,1680452129
444,sarande,39.8756,20.0053,291.0,76,25,2.24,AL,1680452258
445,damietta,31.4165,31.8133,291.2,63,8,5.02,EG,1680452258
